event_dt,event_flg,event_name,event_f_cnt,event_m_cnt,event_link
2022-09-11,USA,Ironman Wisconsin 2022,247,775,/rus/result/ironman/wisconsin/full/2022
2022-09-11,RUS,Чемпионат Курской области Olympic 2022,6,57,/rus/result/nobrand/chempionat-kurskoy-oblasti/olympic/2022-09-11
2022-09-11,RUS,Mriya Thlon Olympic 2022,4,12,/rus/result/nobrand/mriya-thlon/olympic/2022
2022-09-11,RUS,Mriya Thlon Half 2022,1,13,/rus/result/nobrand/mriya-thlon/half/2022
2022-09-11,RUS,Mriya Thlon Sprint 2022,5,18,/rus/result/nobrand/mriya-thlon/sprint/2022
2022-09-10,USA,Ironman Atlantic City 70.3 2022,439,1186,/rus/result/ironman/atlantic-city/half/2022
2022-09-10,GER,Ironman Erkner 5150 2022,90,240,/rus/result/ironman/erkner/olympic/2022
2022-09-10,USA,Ironman Wisconsin 70.3 2022,430,879,/rus/result/ironman/wisconsin/half/2022
2022-09-04,PHI,Ironman Davao Philippines 5150 2022,21,170,/rus/result/ironman/davao-philippines/olympic/2022
2022-09-04,POL,Ironman Poznan 70.3 2022,84,485,/rus/result/ironman/poznan/half/2022
2022-09-04,POL,Ironman Poznan 5150 2022,43,216,/rus/result/ironman/poznan/olympic/2022
2022-09-04,RUS,Triway Olympic 2022,5,77,/rus/result/nobrand/triway/olympic/2022
2022-09-03,SLO,ITU Junior Cup Bled Europe Junior Bled SuperSprint 2022,68,68,/rus/result/itu/junior-cup-bled-europe-junior-bled/supersprint/2022
2022-09-03,ESP,ITU World Cup Valencia Sprint 2022,60,0,/rus/result/itu/world-cup-valencia/sprint/2022
2022-09-03,RUS,IronStar Самара Half 2022,33,257,/rus/result/ironstar/samara/half/2022
2022-09-03,RUS,IronStar Самара Olympic 2022,48,218,/rus/result/ironstar/samara/olympic/2022
2022-08-28,GER,Ironman Duisburg 70.3 2022,366,1627,/rus/result/ironman/duisburg/half/2022
2022-08-28,AUT,Ironman Zell am See-Kaprun 70.3 2022,358,1518,/rus/result/ironman/zell-am-see-kaprun/half/2022
2022-08-28,CAN,Ironman Canada 2022,390,992,/rus/result/ironman/canada/full/2022
2022-08-28,NOR,ITU World Cup Bergen Sprint 2022,57,62,/rus/result/itu/world-cup-bergen/sprint/2022
2022-08-28,PAR,ITU World Cup Development Regional Asuncion Sprint 2022,12,16,/rus/result/itu/world-cup-development-regional-asuncion/sprint/2022
2022-08-28,RUS,Липецкий триатлон Sprint 2022,25,84,/rus/result/nobrand/lipetskiy-triatlon/sprint/2022
2022-08-27,ROU,ITU Junior Cup Izvorani Europe Junior Izvorani SuperSprint 2022,35,63,/rus/result/itu/junior-cup-izvorani-europe-junior-izvorani/supersprint/2022
2022-08-27,RUS,Этап кубка России Дубна Olympic 2022,3,5,/rus/result/nobrand/etap-kubka-rossii-dubna/olympic/2022
2022-08-27,RUS,Дубненский триатлон Николов Перевоз Sprint 2022,23,71,/rus/result/nobrand/dubnenskiy-triatlon-nikolov-perevoz/sprint/2022
2022-08-27,RUS,Липецкий триатлон Half 2022,10,94,/rus/result/nobrand/lipetskiy-triatlon/half/2022
2022-08-27,RUS,Белово Межрегиональные соревнования по триатлону Olympic 2022,15,89,/rus/result/nobrand/belovo-mezhregionalnye-sorevnovaniya-po-triatlonu/olympic/2022
2022-08-27,RUS,Дубненский триатлон Николов Перевоз Olympic 2022,19,134,/rus/result/nobrand/dubnenskiy-triatlon-nikolov-perevoz/olympic/2022
2022-08-21,DEN,Ironman Copenhagen 2022,361,1715,/rus/result/ironman/copenhagen/full/2022
2022-08-21,CAN,Ironman Mont-Tremblant 2022,240,691,/rus/result/ironman/mont-tremblant/full/2022
2022-08-21,FRA,Ironman Vichy 2022,127,780,/rus/result/ironman/vichy/full/2022
2022-08-20,SWE,Ironman Kalmar-Sweden 2022,327,1470,/rus/result/ironman/kalmar-sweden/full/2022
2022-08-20,FRA,Ironman Vichy 70.3 2022,427,1591,/rus/result/ironman/vichy/half/2022
2022-08-20,RUS,IronStar Крылатское Olympic 2022,110,429,/rus/result/ironstar/krylatskoe/olympic/2022
2022-08-20,RUS,Казанский триатлон Olympic 2022,17,156,/rus/result/nobrand/kazanskiy-triatlon/olympic/2022
2022-08-20,RUS,Казанский триатлон Sprint 2022,30,111,/rus/result/nobrand/kazanskiy-triatlon/sprint/2022
2022-08-20,RUS,Спартакиада Olympic 2022,17,17,/rus/result/nobrand/spartakiada/olympic/2022
2022-08-20,RUS,Спартакиада Sprint 2022,6,19,/rus/result/nobrand/spartakiada/sprint/2022
2022-08-20,RUS,Altai3Race Half 2022,9,109,/rus/result/nobrand/altai3race/half/2022
2022-08-20,RUS,Altai3Race Sprint 2022,35,103,/rus/result/nobrand/altai3race/sprint/2022
2022-08-14,KAZ,Ironman Astana 70.3 2022,104,593,/rus/result/ironman/astana/half/2022
2022-08-14,IRL,Ironman Ireland Cork 2022,126,928,/rus/result/ironman/ireland-cork/full/2022
2022-08-14,KAZ,Ironman Kazakhstan 2022,41,459,/rus/result/ironman/kazakhstan/full/2022
2022-08-14,RWA,Ironman Rwanda 70.3 2022,29,79,/rus/result/ironman/rwanda/half/2022
2022-08-13,FIN,Ironman Finland Kuopio-Tahko 2022,106,340,/rus/result/ironman/finland-kuopio-tahko/full/2022
2022-08-13,IRL,Ironman Ireland Cork 70.3 2022,233,788,/rus/result/ironman/ireland-cork/half/2022
2022-08-13,LAT,ITU Junior Cup Riga Europe Junior Riga Sprint 2022,27,46,/rus/result/itu/junior-cup-riga-europe-junior-riga/sprint/2022
2022-08-13,RUS,3Grom Большой Московский триатлон Half 2022,31,292,/rus/result/3grom/bolshoy-moskovskiy-triatlon/half/2022
2022-08-13,RUS,3Grom Большой Московский триатлон Sprint 2022,58,178,/rus/result/3grom/bolshoy-moskovskiy-triatlon/sprint/2022
2021-10-23,POR,Ironman Portugal-Cascais 2021,126,1293,/rus/result/ironman/portugal-cascais/full/2021
2022-08-12,GER,ITU Championship Munich Europe Munich Olympic 2022,41,57,/rus/result/itu/championship-munich-europe-munich/olympic/2022
2022-08-12,GER,ITU Championship Munich Europe Munich Sprint 2022,362,674,/rus/result/itu/championship-munich-europe-munich/sprint/2022
2022-08-07,USA,Ironman Alaska 2022,225,500,/rus/result/ironman/alaska/full/2022
2022-08-07,POL,Ironman Gdynia 2022,28,250,/rus/result/ironman/gdynia/full/2022
2022-08-07,POL,Ironman Gdynia 70.3 2022,93,577,/rus/result/ironman/gdynia/half/2022
2022-08-07,NED,Ironman Maastricht-Limburg 2022,116,778,/rus/result/ironman/maastricht-limburg/full/2022
2022-08-07,BRA,Ironman Maceio 70.3 2022,187,713,/rus/result/ironman/maceio/half/2022
2022-08-07,PHI,Ironman Philippines 70.3 2022,72,526,/rus/result/ironman/philippines/half/2022
2022-08-07,GBR,Ironman Swansea 70.3 2022,289,1269,/rus/result/ironman/swansea/half/2022
2022-08-07,EST,Ironman Tallinn 70.3 2022,225,693,/rus/result/ironman/tallinn/half/2022
2022-08-07,RUS,Антивирус триатлон Half 2022,1,32,/rus/result/nobrand/antivirus-triatlon/half/2022
2022-08-07,RUS,Антивирус триатлон Olympic 2022,9,52,/rus/result/nobrand/antivirus-triatlon/olympic/2022
2022-08-07,MDA,ITU Junior Cup Chisinau Europe Junior Chisinau SuperSprint 2022,26,28,/rus/result/itu/junior-cup-chisinau-europe-junior-chisinau/supersprint/2022
2022-08-07,NOR,ITU National Championship Norway Sprint 2022,17,31,/rus/result/itu/national-championship-norway/sprint/2022
